day,total_usdc,payments,active_payers,coinbase,payai,dexter,figment,openfacilitator,openx402,cascade,three_ws,ultravioletadao,retired,other
2025-11-19,4.171419,188,8,4.170819,0,0,0,0,0,0,0,0,0.0006,0
2025-11-20,8.5542,140,9,8.554,0,0,0,0,0,0,0,0,0.0002,0
2025-11-21,2.9225,335,5,2.9225,0,0,0,0,0,0,0,0,0,0
2025-11-22,4.633,484,3,4.633,0,0,0,0,0,0,0,0,0,0
2025-11-23,0.221,23,2,0.221,0,0,0,0,0,0,0,0,0,0
2025-11-24,0.688,92,2,0.688,0,0,0,0,0,0,0,0,0,0
2025-11-25,0.41,41,1,0.41,0,0,0,0,0,0,0,0,0,0
2025-11-26,0.313,37,1,0.313,0,0,0,0,0,0,0,0,0,0
2025-11-27,0.215,24,2,0.215,0,0,0,0,0,0,0,0,0,0
2025-11-28,76.7786,66,2,0.5155,0,0,0,0,76.2631,0,0,0,0,0
2025-11-29,6.85,61,1,6.85,0,0,0,0,0,0,0,0,0,0
2025-11-30,4.12,22,2,4.12,0,0,0,0,0,0,0,0,0,0
2025-12-01,10.89077,113,6,10.89077,0,0,0,0,0,0,0,0,0,0
2025-12-02,4.670646,29,8,4.670646,0,0,0,0,0,0,0,0,0,0
2025-12-03,1.841346,35,6,1.841346,0,0,0,0,0,0,0,0,0,0
2025-12-04,17.990441,112,6,17.990441,0,0,0,0,0,0,0,0,0,0
2025-12-05,1.411019,25,4,1.411019,0,0,0,0,0,0,0,0,0,0
2025-12-07,3.73,8,3,3.73,0,0,0,0,0,0,0,0,0,0
2025-12-08,140.11,18,16,140.11,0,0,0,0,0,0,0,0,0,0
2025-12-09,60.515,10,8,60.515,0,0,0,0,0,0,0,0,0,0
2025-12-10,41.2,16,8,41.2,0,0,0,0,0,0,0,0,0,0
2025-12-11,83.790006,146,12,50.01,0,0,0,0,0,0,0,0,33.780006,0
2025-12-12,80.731001,122,15,50.02,0,0,0,0,0,0,0,3,27.711001,0
2025-12-13,66.468254,83,16,39.6,0,0,0,0,0,0,0,0,26.868254,0
2025-12-14,70.4,34,11,69.3,0,0,0,0,0,0,0,0,1.1,0
2025-12-15,11.900169,42,5,9.900169,0,0,0,0,0,0,0,0,2,0
2025-12-16,56.149006,120,8,19.819,0,0,0,0,0,0,0,0,36.330006,0
2025-12-17,238.67153,48,10,0.02153,0,0,0,0,0,0,0,2,236.65,0
2025-12-18,341.944263,135,7,19.882,0,0,0,0,0,0,0,0,322.062263,0
2025-12-19,119.379103,211,11,24.56016,0,0,0,0,0,0,0,0,94.818943,0
2025-12-20,29.978408,420,5,10.06,0,0,0,0,0,0,0,0,19.918408,0
2025-12-21,20.88,48,8,20.27,0,0,0,0,0,0,0,0,0.61,0
2025-12-22,6.973125,106,9,0.529069,0,0,0,0,0,0,0,0,6.444056,0
2025-12-23,33.671816,191,13,20.135,0,0,0,0,0,0,0,0,13.536816,0
2025-12-24,33.328224,476,20,10.683,0,0,0,0,0,0,0,0,22.645224,0
2025-12-25,69.49,2034,8,0.02,0,0,0,0,0,0,0,0,69.47,0
2025-12-26,54.96,792,7,9.9,0,0,0,0,0,0,0,1,44.06,0
2025-12-27,16.94,120,8,0.42,0,0,0,0,0,0,0,0,16.52,0
2025-12-28,13.3872,44,6,0.0072,0,0,0,0,0,0,0,0,13.38,0
2025-12-29,39.490204,220,17,0.471,0,0,0,0,0,0,0,0,39.019204,0
2025-12-30,37.8,190,11,9.94,0,0,0,0,0,0,0,0,27.86,0
2025-12-31,24.395953,215,9,0,0,0,0,0,0,0,0,0,24.395953,0
2026-01-01,36.92,47,6,2,0,0,0,0,0,0,0,0,34.92,0
2026-01-02,241.4055,15334,129,0.12,231.9855,0,0,0,0,0,0,0,9.3,0
2026-01-03,426.20355,24715,144,3.86,390.29355,0,0,0,0,0,0,0,32.05,0
2026-01-04,104.82725,160,18,7.023,0,0,0,0,0,0,0,0,97.80425,0
2026-01-05,72.149732,321,12,1.603,0,0,0,0,0,0,0,0,70.546732,0
2026-01-06,17.395023,234,16,1.655023,0,0,0,0.9,0,0,0,0,14.84,0
2026-01-07,1628.410116,1092,25,26.060115,0,0,0,1570.1,0,0,0,0,32.250001,0
2026-01-08,2397.1634,7260,15,6.101,0,0,0,2340,0,0,0,0,51.0624,0
2026-01-09,1794.65655,2167,16,2.043,0,0,0,1755,0,0,0,0,37.61355,0
2026-01-10,1677.381,969,10,0.001,0,0,0,1605,0,0,0,0,72.38,0
2026-01-11,1983.241002,1134,9,0.001,0,0,0,1945,0,0,0,0,38.240002,0
2026-01-12,1393.6169,949,13,0.002,0,0,0,1370.021,0,0,0,0,23.5939,0
2026-01-13,1934.656301,1192,19,30.021,0,0,0,1860.1,0,0,0,1,43.535301,0
2026-01-14,1967.5404,1255,15,2.051,0,0,0,1894.01,0,0,0,0,71.4794,0
2026-01-15,1791.2659,1154,13,0,0,0,0,1732,0,0,0,0,59.2659,0
2026-01-16,1698.63125,1057,13,0.302,0,0,0,1626.57,0,0,0,0,71.75925,0
2026-01-17,1107.845,804,9,0.1,0,0,0,1082.02,0,0,0,0,25.725,0
2026-01-18,2184.421,1248,10,0.2,0,0,0,2150.52,0,0,0,0,33.701,0
2026-01-19,2084.096,1361,11,2.806,0,0,0,2049.25,0,0,0,0,32.04,0
2026-01-20,2794.64,1572,12,0.03,0,0,0,2743.8,0,0,0,0,50.81,0
2026-01-21,1781.412,1056,20,80.272,0,0,0,1660.003,0,0,0,0,41.137,0
2026-01-22,1625.727003,1034,12,0.252,0,0,0,1568.4,0,0,0,0,57.075003,0
2026-01-23,1482.8578,666,10,0.006,0,0,0,1465.05,0,0,0,0,17.8018,0
2026-01-24,1219.605,591,29,0,0,0,0,1191.275,0,0,0,0,28.33,0
2026-01-25,1643.03,698,8,50,0,0,0,1575.53,0,0,0,0,17.5,0
2026-01-26,1434.952,933,16,0.053,0,0,0,1416.018,0,0,0,0,18.881,0
2026-01-27,276.69,218,13,0,0,0,0,266.51,0,0,0,0,10.18,0
2026-01-28,822.8788,550,11,0.002,0,0,0,809.285,0,0,0,0,13.5918,0
2026-01-29,308.89,198,6,0,0,0,0,305.58,0,0,0,0,3.31,0
2026-01-30,2.162,39,11,0.872,0,0,0,0,0,0,0,0,1.29,0
2026-01-31,27.500847,76,4,27.440847,0,0,0,0,0,0,0,0,0.06,0
2026-02-01,304.12,232,5,0.08,0,0,0,300.59,0,0,0,0,3.45,0
2026-02-02,12.31,62,6,0,0,0,0,10.35,0,0,0,0,1.96,0
2026-02-03,2.017,88,10,1.251,0,0,0,0.005,0.001,0,0,0,0.76,0
2026-02-04,375.609999,327,13,8.049999,0,0,0,363.1,0,0,0,0,4.46,0
2026-02-05,1042.255,712,10,0.005,0,0,0,1030.73,0,0,0,0,11.52,0
2026-02-06,538.9,385,11,2.12,0,0,0,531.05,0,0,0,0,5.73,0
2026-02-07,264.421,949,5,0,0,0,0,254.01,0.001,0,0,0,10.41,0
2026-02-08,271.832,1833,7,0.002,0,0,0,251.5,0,0,0,0,20.33,0
2026-02-09,5.413261,411,10,0.014,0,0,0,1.473661,0,0,0,0,3.9256,0
2026-02-10,254.61969,753,9,0.276,0,0,0,245.99,0,0,0,0,8.35369,0
2026-02-11,246.2403,193,14,0.07,0,0,0,241.54,0,0,0,0,4.6303,0
2026-02-12,180.3323,217,16,0.082,0,0,0,177.59,0,0,0,0,2.6603,0
2026-02-13,91.4494,506,14,1.366,0,0,0,66.73,18.6125,0,0,0,4.7409,0
2026-02-14,6.3424,397,9,4.36,0,0,0,0.19,0,0,0,0,1.7924,0
2026-02-15,49.438,206,10,0.818,0,0,0,43.13,0,0,0,0,5.49,0
2026-02-16,236.390542,1278,29,1.036,0,0,0,217.884542,0,0,0,0,17.47,0
2026-02-17,38.413657,1908,42,3.032,0,0,0,34.171657,0,0,0,0,1.21,0
2026-02-18,51.451058,336,45,2.002,0,0,0,6.390058,41.075,0,0,0,1.984,0
2026-02-19,477.0775,770,39,48.014,0,0,0,404.69,18.6125,0,0,0,5.761,0
2026-02-20,265.748,667,55,18.403,0,0,0,197.88,46.975,0,0,0,2.49,0
2026-02-21,58.104001,443,56,30.04,0,0,0,22.394001,0,0,0,0,5.67,0
2026-02-22,10.3735,428,22,0.06,0,0,0,7.5435,0,2,0,0,0.77,0
2026-02-23,203.24804,205,17,0.102,0,0,0,188.9375,0,12,0,0,2.20854,0
2026-02-24,77.711,87,19,1.084,0,0,0,1.382,0,75,0,0,0.245,0
2026-02-25,187.858501,152,16,0.033,0,0,0,185.7955,0,0,0,0,2.030001,0
2026-02-26,11.948013,171,23,0.11,0,0,0,5.718,0,4,0,0,2.120013,0
2026-02-27,32.7155,109,22,30.031,0,0,0,1.5555,0,0,0,0,1.129,0
2026-02-28,204.71939,251,20,0.38,0,0,0,202.145,0,0,0,0.00718,2.18721,0
2026-03-01,9.685237,2516,22,4.742,0,0,0,4.083237,0,0,0,0,0.86,0
2026-03-02,217.36775,277,33,3.16125,0,0,0,210.8035,0,0,0,0,3.403,0
2026-03-03,21.10675,320,29,10.24225,0,0,0,8.0235,0,0,0,0,2.841,0
2026-03-04,76.4575,377,41,0.04,0,0,0,43.3315,0,31,0,0,2.086,0
2026-03-05,39.54615,283,45,2.73225,0,0,0,7.227,0,28,0,0.0103,1.5766,0
2026-03-06,59.294,280,33,3.4585,0,0,0,13.2955,0,42,0,0,0.54,0
2026-03-07,4.0165,129,13,1.1,0,0,0,2.7765,0,0,0,0,0.14,0
2026-03-08,185.0995,290,26,3.046,0,0,0,179.5535,0,0,0,0,2.5,0
2026-03-09,63.92,129,30,41.275,0,0,0,11.163,0,11,0,0,0.482,0
2026-03-10,24.262744,323,34,4.19,0,0,0,17.483501,0,2,0,0.11,0.479243,0
2026-03-11,45.4225,210,30,13.312,0,0,0,7.7725,0,24,0,0,0.338,0
2026-03-12,77.252229,251,73,1.312,0,0,0,72.547429,0,0,0,0,3.3928,0
2026-03-13,957.473295,1164,73,1.837,0,0,0,8.42,0,0,0,0,947.216295,0
2026-03-14,1377.228925,1215,52,6.611,0,0,0,4.315456,0,0,0,0,1366.302469,0
2026-03-15,138.319825,354,39,129.362,0,0,0,1.711,0,0,0,0,7.246825,0
2026-03-16,118.2994,435,31,51.924,0,0,0,2.006,0,0.191,0,0,64.1784,0
2026-03-17,43.561663,684,36,5.191,0,0,0,2.298463,0,6.59,0,0,29.4822,0
2026-03-18,32.5359,949,75,2.555,0,0,0,1.281,0,12.52,0,0,16.1799,0
2026-03-19,27.456066,652,25,5.828,0,0,0,1.3,0,9.177,0,0,11.151066,0
2026-03-20,91.339717,327,16,6.32,0,0,0,9.043517,0,7.096,0,0,68.8802,0
2026-03-21,6.940049,477,14,2.91,0,0,0,0,0,1.225,0,0,2.805049,0
2026-03-22,13.4731,1110,17,1.905,0,0,0,1.5835,0,9.5626,0,0.001,0.421,0
2026-03-23,13.5288,385,24,1.64,0,0,0,1.3,0,6.9428,0,0,3.646,0
2026-03-24,22.171901,689,60,0.801,0,0,0,0.01,0,2.625,0,0,18.735901,0
2026-03-25,30.2948,664,25,0.85,0,0,0,14.2,0,2.6044,0,0,12.6404,0
2026-03-26,26.141883,540,35,5.197,0,0,0,11.984283,0,0.997,0,0,7.9636,0
2026-03-27,50.167,1633,30,13.697,0,0,0,0.05,13.8125,2.346,0,0,20.2615,0
2026-03-28,3.8561,129,13,1.23,0,0,0,0.044,0,0.152,0,0,2.4301,0
2026-03-29,3.614,71,17,0.898,0,0,0,0.904,0,0.092,0,0,1.72,0
2026-03-30,121.7271,200,35,113.636,0,0,0,2.04,0,0.026,0,0,6.0251,0
2026-03-31,6.8692,304,13,1.097,0,0,0,0.58,0,1.407,0,0,3.7852,0
2026-04-01,98.208912,244,16,10.192,0,0,0,0.01,68.6125,0.303,0,0.000103,19.091309,0
2026-04-02,22.0672,356,15,1.582,0,0,0,0.1275,0,0.76,0,0,19.5977,0
2026-04-03,56.7844,646,18,31.208,0,0,0,0.2275,13.8125,1.872,0,0,9.6644,0
2026-04-04,82.371102,1087,29,15.499,40.528802,0,0,0.4105,13.8125,10.8528,0,0,1.2675,0
2026-04-05,68.447316,760,31,3.054,22.248816,0,0,0.74,27.625,14.7175,0,0,0.062,0
2026-04-06,33.495257,1198,83,1.424,25.509407,0,0,0.07,0,4.215,0,0,2.27685,0
2026-04-07,565.965168,5211,106,4.102,48.654025,86.213833,0,0.04,0,3.0876,0,0,423.86771,0
2026-04-08,14898.00382,18584,141,8.1431,49.228358,158.617333,0,7.515,0,1.876,0,0.00512,14672.618909,0
2026-04-09,11410.930473,13279,99,2.056025,29.725521,62.849,0,3.675,0,0.466,0,0.00906,11312.149867,0
2026-04-10,146.094736,4738,82,0.220025,66.079465,53.9341,0,21.72684,0,0.076,0,0.000206,4.0581,0
2026-04-11,119.279424,3642,108,1.663,12.637477,96.2484,0,2.1925,0,0,0,0.003399,6.534648,0
2026-04-12,158.032157,3549,62,41.758,49.402757,49.9073,0,0.565,0,0.455,0,0,15.9441,0
2026-04-13,287.355853,4489,122,4.256,75.612081,52.73465,0,3.85691,0,0.211,0,0,150.685212,0
2026-04-14,153.524877,5414,73,37.948,34.152277,69.521,0,0.021,0,1.362,0,0,10.5206,0
2026-04-15,149.496435,7892,69,1.456,24.919435,115.083,0,0.273,0,0.497,0,0,7.268,0
2026-04-16,199.133101,8998,57,21.615,48.938297,115.91495,0,1.1525,0,0.59,0,0,10.922354,0
2026-04-17,206.369656,8867,63,32.575,24.943356,119.757,0,26.705,0,0.231,0,0,2.1583,0
2026-04-18,195.904651,8386,76,15.514,42.127851,122.3081,0,5.0525,0,0.122,0,0,10.7802,0
2026-04-19,209.722437,7411,78,50.53,27.656337,115.516,0,14.162,0,0.308,0,0,1.5501,0
2026-04-20,192.121908,4631,150,31.579,34.942908,115.287,0,0,0,0.615,0,0,9.698,0
2026-04-21,182.176871,4872,87,44.813,77.400471,28.308,0,0.02,0,7.453,0,0,24.1824,0
2026-04-22,165.202131,3420,106,130.892385,17.888272,8.878,0,3.1815,0,0.235,0,0,4.126974,0
2026-04-23,1945.303635,6055,2606,1881.563947,56.614488,2.5,0,0,0,0.458,0,0,4.1672,0
2026-04-24,6113.0793,18558,7761,5674.929043,428.922157,1.741,0,0.2625,0,0,0,0,7.2246,0
2026-04-25,63.716953,1987,38,38.106,22.185753,0,0,0,0,0,0,0,3.4252,0
2026-04-26,4822.597409,13543,3569,4673.799537,61.831972,86.08,0,0,0,0,0,0,0.8859,0
2026-04-27,7119.275564,23444,7652,6883.895435,113.890029,115.1,0,0,0,0.01,0,0,6.3801,0
2026-04-28,5514.086976,19209,6143,5206.350701,208.624975,91.27,0,0,0,0,0,0,7.8413,0
2026-04-29,1819.57016,5949,2353,1625.330514,180.608746,13.1,0,0,0,0.452,0,0,0.0789,0
2026-04-30,116.612357,5274,25,16.881357,0,98.261,0,1.47,0,0,0,0,0,0
2026-05-01,440.782558,12114,184,5.157558,0,435.625,0,0,0,0,0,0,0,0
2026-05-02,347.873,9974,117,26.053,0,321.82,0,0,0,0,0,0,0,0
2026-05-03,438.7825,9148,227,2.827,0,435.945,0,0.0105,0,0,0,0,0,0
2026-05-04,453.6631,13049,148,0.679,0,450.776,0,0.02,0,0,0,0,2.1881,0
2026-05-05,212.436338,8525,120,0.078,0,196.147938,0,6.32,0,0,0,0,9.8904,0
2026-05-06,863.5762,18236,495,0.934,0,839.133,0,0.01,0,0,0,0,23.4992,0
2026-05-07,2635.408565,47990,947,305.242783,199.533482,2117.392,0,0,0,0.064,0,0,13.1763,0
2026-05-08,8562.94697,31133,7417,8154.107791,122.992979,283.47,0,0.0725,0,0,0,0.135,2.1687,0
2026-05-09,6440.623074,24566,7112,6278.374174,21.5439,128.65,0,10.51,0,0,0,0,1.545,0
2026-05-10,220.950659,2028,364,155.972159,0.01,64.35,0,0,0,0,0,0,0.6185,0
2026-05-11,62.4171,1162,76,22.835,0,36.996,0,0.01,0,0.005,0,0,2.5711,0
2026-05-12,55.6075,370,42,41.339,0,10.05,0,0.84,0,0,0,0,3.3785,0
2026-05-13,209.313,3848,187,57.649,0,151.419,0,0.115,0,0,0,0,0.13,0
2026-05-14,83.9666,2946,102,40.607,0,42.626,0,0.125,0,0.137,0,0,0.4716,0
2026-05-15,2884.334671,57992,645,8.6655,5.373371,2863.955,0,4.42,0,0,0,0,1.9208,0
2026-05-16,3530.0971,71022,502,1.429,0,3527.646,0,0.062,0,0,0,0,0.9601,0
2026-05-17,2150.6277,42116,530,53.354,0,2095.7685,0,1.025,0,0,0,0,0.4802,0
2026-05-18,832.2726,16779,387,1.258,0,828.722,0,1.342,0,0,0,0,0.9506,0
2026-05-19,1495.9019,30170,541,21.265,0,1469.51,0,1.05,0,0,0,0,4.0769,0
2026-05-20,1379.4522,26717,450,29.078,0,1271.732,0,75.585,0,0.005,0,0,3.0522,0
2026-05-21,1342.6087,26356,477,23.609,0,1279.778,0,37.7685,0,0.005,0,0,1.4482,0
2026-05-22,91.6317,2029,140,11.772,0,79.215,0,0.5375,0,0.032,0,0,0.0752,0
2026-05-23,101.4111,2411,86,17.42,0,82.33,0,1.4175,0,0.001,0,0,0.1426,0.1
2026-05-24,199.4169,4350,151,20.95,0,172.183,0,0.3675,0,0,0,0,5.9164,0
2026-05-25,4583.103055,12604,5597,4582.935055,0,0,0,0,0,0.005,0,0,0.113,0.05
2026-05-26,373.986,6530,221,42.365,0,310.21,0,10.2255,0,0.007,0,0,11.0785,0.1
2026-05-27,273.7672,6422,227,17.008,0,252.78,0,2.1,0,1.44,0,0,0.4392,0
2026-05-28,190.7376,4476,157,7.888,0,172.665,0,4.6025,0,0.354,0,0,5.2281,0
2026-05-29,84.691926,1823,72,4.197,0,49.418,0,2.453,0,0.067,0,0,28.556926,0
2026-05-30,126.219324,2576,122,4.16046,1.484164,118.293,0,1.5225,0,0.264,0,0,0.0652,0.43
2026-05-31,1232.667994,5981,160,48.169,36.185279,129.34,0,0,0,0.017,0,0,1018.856715,0.1
2026-06-01,9673.365168,10367,101,194.0689,56.42004,50.535,0,1.05,0,1.01,0,0,9370.231228,0.05
2026-06-02,10631.522227,11733,87,73.088674,92.00178,19.04,0,0,0,0,0,0,10447.391773,0
2026-06-03,2807.694563,6277,132,50.138028,377.807669,10.6105,0,0.0315,0,0.02,0,0,2369.086866,0
2026-06-04,6155.095192,9988,1238,1200.347107,61.614634,5.64,0,0.1105,0,0.045,0,0,4887.337951,0
2026-06-05,8350.905646,17758,4143,3056.72817,296.130902,27.983,0,5,0,0.135,0,0,4964.928574,0
2026-06-06,7671.693102,13956,3765,3486.944018,38.342061,16.685,0,0,0,0.001,0,0,4129.721023,0
2026-06-07,14965.993632,13436,3746,4247.778035,9520.039537,0.487,0,0,0,0,0,0,1197.68906,0
2026-06-08,6798.347238,12281,3588,3525.977222,2298.308526,1.068,0,0.273,0,0,0,0,972.47049,0.25
2026-06-09,6226.319511,11682,3095,4027.126405,2145.045406,0.55,0,0.3625,0,0.02,0,0,53.2152,0
2026-06-10,7375.858742,5856,315,187.535213,4361.782327,2.15,0,189.011,0,0.087,0,0,2635.293202,0
2026-06-11,3380.30528,7555,1505,1701.238488,1118.395523,6.8,0,0,0,0.078,0,0,553.743269,0.05
2026-06-12,4396.180462,19590,3921,4074.529101,299.786861,10.906,0,0,0,0.059,0,0,10.8995,0
2026-06-13,13800.371397,19830,3332,2422.074678,10229.65485,13.78,0,0,0,0,0,0,1134.861869,0
2026-06-14,13384.561899,31044,3550,2040.737678,8233.859908,0,0,0.003,0,0,0,0,3109.911313,0.05
2026-06-15,12458.470209,26235,4244,3313.565832,7326.302457,1.51,0,0.5,0,0.027,0,0,1816.56492,0
2026-06-16,6358.452008,30414,2987,3464.237742,2839.898066,23.17,0,0,0,0,0,0,31.1462,0
2026-06-17,10237.539689,37062,3828,2970.002848,2194.315733,27.38,0,0.818,0,0,0,0,5045.023108,0
2026-06-18,3432.130911,32266,3901,2406.270916,979.869296,39.3875,0.1,0.02,0,0.483,0,0,6.000199,0
2026-06-19,8176.170195,25820,3141,4539.776169,3587.209626,43.038,0,0,0,0.012,0,0,6.1344,0
2026-06-20,11062.281229,32108,4411,5865.558309,5163.63132,31.69,0,0.675,0,0.035,0,0,0.4316,0.26
2026-06-21,5937.226889,28722,4229,3445.432592,2465.705197,25.014,0,0,0,0.071,0,0,1.0041,0
2026-06-22,20257.328626,27542,4020,16212.947665,3018.878394,42.7175,0,0.2625,0,0.087,0,0,982.035567,0.4
2026-06-23,6272.038675,33194,4609,3667.591165,2237.22371,39.771,0,0.6,0,0.273,0,0,326.5298,0.05
2026-06-24,5047.539909,35424,5246,3369.06979,1614.428119,63.563,0,0,0,0.126,0,0,0.353,0
2026-06-25,3978.591446,13934,4736,3129.357284,775.871562,71.23,0,0,0,0,0,0,2.1326,0
2026-06-26,6990.068046,48410,4558,3475.441687,3416.983659,97.514,0,0.0525,0,0,0,0,0.0752,0.001
2026-06-27,2896.815858,37750,495,56.49779,2764.947568,75.31,0,0.0525,0,0.005,0,0,0,0.003
2026-06-28,2899.614307,23437,407,46.71132,2785.982487,66.821,0,0.0525,0,0.047,0,0,0,0
2026-06-29,2698.985563,19667,457,116.538222,2511.224341,65.68,0.02,0.31,5,0.143,0,0,0.07,0
2026-06-30,2256.048682,19614,477,61.594294,2156.063388,38.14,0.251,0,0,0,0,0,0,0
2026-07-01,1269.790505,10487,395,45.99,1187.434505,36.243,0,0.105,0,0.018,0,0,0,0
2026-07-02,4498.559242,22394,718,35.198,2512.780934,39.8,0,0.6,0,0,0,0,1910.180308,0
2026-07-03,2952.324636,18730,541,47.373372,2884.878264,20.073,0,0,0,0,0,0,0,0
2026-07-04,6443.214986,6810,544,24.204,812.486101,58.570009,0,0,0,0,0,0,5547.954876,0
2026-07-05,1948.19176,3303,244,31.0402,129.718234,15.69,0,0,0,0,0,0,1771.743326,0
2026-07-06,1920.860534,17532,365,71.467958,471.357617,30.776,0,1,0,0.121,0,0,1346.137959,0
2026-07-07,471.409816,20981,254,53.4064,317.353416,98.92,0,0.6,0,0.13,0,0,1,0
2026-07-08,883.499959,27290,487,46.258986,216.021473,616.146,0,0.0525,0,1.001,0,0,4.02,0
2026-07-09,745.682388,14168,445,57.1479,640.684488,47.8,0,0,0,0,0,0,0,0.05
2026-07-10,1398.171452,13813,452,67.754,1309.457452,20.5,0.46,0,0,0,0,0,0,0
2026-07-11,269.192715,5374,82,78.908,123.522715,66.762,0,0,0,0,0,0,0,0
2026-07-12,328.54165,17134,469,64.8215,68.39965,193.81,0,0.0105,0,0,0,0,0,1.5
2026-07-13,8319.880133,27166,404,116.8175,7976.290633,226.772,0,0,0,0,0,0,0,0
2026-07-14,21209.029967,26840,577,185.89578,20734.788187,288.304,0.02,0,0,0.022,0,0,0,0
2026-07-15,3783.697881,41087,528,212.231647,2355.256234,1215.57,0,0.01,0,0.63,0,0,0,0
2026-07-16,668.131992,8991,173,98.9929,406.199092,162.94,0,0,0,0,0,0,0,0
2026-07-17,760.758532,7106,167,64.9638,587.343232,73.82,0,34.5705,0,0.061,0,0,0,0
2026-07-18,1742.857209,36536,200,101.84548,230.188377,1406.648352,0,3.92,0,0.255,0,0,0,0
2026-07-19,2448.531458,38725,525,61.37426,1060.842628,1326.06057,0,0,0,0.254,0,0,0,0
2026-07-20,1924.436722,44667,346,198.1013,338.623454,1387.080968,0,0,0,0.631,0,0,0,0
2026-07-21,2041.210067,46265,344,307.870954,328.762113,1404.17,0,0,0,0.407,0,0,0,0
2026-07-22,3248.675274,47754,515,160.068426,1649.508848,1438.849,0,0.01,0,0.239,0,0,0,0
2026-07-23,2464.501529,40890,187,681.211879,232.019068,1551.042582,0,0,0,0.227,0,0,0,0.001
2026-07-24,759.139775,28281,399,97.75874,207.653035,453.699,0,0,0,0.029,0,0,0,0
2026-07-25,1286.522997,34924,586,85.324222,109.853044,1090.806731,0,0.01,0,0.249,0,0,0,0.28
2026-07-26,2088.099334,27462,453,1027.779683,140.644651,919.377,0,0,0,0.197,0,0,0,0.101
2026-07-27,1406.011124,46066,463,288.983713,96.080576,1020.346835,0,0,0,0.1,0,0.5,0,0
2026-07-28,1034.189785,26927,554,174.812658,231.256627,627.4265,0,0,0,0.143,0,0.5,0,0.051
2026-07-29,3920.383979,32575,419,3206.96366,147.027819,566.3155,0,0,0,0.025,0,0,0,0.052
2026-07-30,1577.745201,6745,303,1181.6593,146.527901,58.15,0,0,0,191.298,0,0,0,0.11
2026-07-31,1270.318178,20021,693,914.076967,162.044211,194.195,0,0,0,0,0,0,0,0.002
2026-08-01,668.568007,21753,372,191.50414,193.353367,283.5695,0,0,0,0.091,0,0,0,0.05
2026-08-02,16610.706762,16325,526,8052.272614,98.706735,8454.582747,0,0,0,0,0,0,0,5.144666
2026-08-03,27910.320415,23948,620,19058.408,140.643115,8710.9733,0,0,0,0.146,0,0,0,0.15
2026-08-04,21773.108601,14945,406,16305.64155,225.307669,5241.996382,0,0,0,0.062,0,0,0,0.101
2026-08-05,6364.964012,15653,789,95.6464,115.239141,6154.057471,0,0,0,0.021,0,0,0,0
2026-08-06,17270.90456,10629,414,9868.089,101.344076,7301.463484,0.008,0,0,0,0,0,0,0
2026-08-07,8537.822125,18853,722,529.654,190.194363,7817.443762,0,0,0,0.48,0,0,0,0.05
2026-08-08,9328.644543,16096,703,73.045,22.569317,9233.030226,0,0,0,0,0,0,0,0
2026-08-09,9073.616015,13731,485,85.4712,44.812749,8943.232066,0,0,0,0,0,0,0,0.1
2026-08-10,6996.633091,9648,386,85.376001,88.242555,6822.813535,0,0,0,0,0,0,0,0.201
