seller_rank,seller_address,service_category,weekly_volume_usd,market_share_pct,cumulative_share_pct
35,0x9f14025af0065b30e47e23ebb3b491d39ae8ed17,reasoning,3668.14,0.4446,51.0856
36,0x76a50887d8f1c2e9301755428990ad81479ee21c,social,3616.67,0.4384,51.524
37,0x7a61b53701befdae0eeeffaecc73f14e20b537bb,social,3447.73,0.4179,51.9419
38,0xaea92132c4cbeb263e6ac2bf6c183b5d81737f17,data,3318.97,0.4023,52.3442
39,0x0b918943df0962bc7a1824c0555a389347b4febd,reasoning,3220.47,0.3904,52.7346
40,0xd59eced1ded07f84c145592f65bdf854358e009c,media,3171.28,0.3844,53.119
41,0x3d914f9348c9cc0ff8a79716700b9fcd4d2f3e71,reasoning,3125.2,0.3788,53.4978
42,0x73475cb40a568e8da8a045ced110137e159f890a,data,3115.77,0.3777,53.8754
43,0x44cb730c420480a0477b505ae68af508fb90f96c,infrastructure,3028.2,0.3671,54.2425
44,0x71ee45a3c0db9a9865f7313dd3372cf60dca6479,trading,3019.71,0.366,54.6085
45,0x811786ad1ae74adfdd20dd0372abaaebc6246e34,search,2977.42,0.3609,54.9694
46,0x25fc0e7096fc653718202dc30b0c580b8ab87eac,reasoning,2854.29,0.346,55.3154
47,0x31489056e0916d59fe3add79e63f095af3ffb816,media,2741.95,0.3324,55.6478
48,0x98010bd9270f9b100b6214a21754fd33bdc8d41b,search,2708.12,0.3283,55.976
49,0x0e17daca5f3e175f448bacace3bc0da47d0655a7,data,2702.65,0.3276,56.3036
50,0x1a6562590ef19d1045d06c4055742d38288e9e6d,media,2701.24,0.3274,56.631
51,0x031b4af5197ec30a926f48cf40e11a7dbc470048,reasoning,2669.84,0.3236,56.9546
52,0x41cfc0d1f2d127b04555b7246d84019b4d27710a,reasoning,2658.99,0.3223,57.2769
53,0x2858dcd1057d3eae7f7d5f782167e24b61153c01,data,2652.51,0.3215,57.5985
54,0x2fca346db656187102ce806ac732e06a62df0dbb,reasoning,2650.02,0.3212,57.9197
55,0x02d20bbd7e394ad5999a4cebabac9619732c343a,reasoning,2610.72,0.3165,58.2361
56,0x7688b6ef52555962d008fff894223582c484517c,social,2573.28,0.3119,58.548
57,0xc837649cce43f2729138e72cc315207057ac8259,trading,2487.87,0.3016,58.8496
58,0x6208ef0f7750c111548cf90b6ea1d0d0a66f6bff,data,2481.62,0.3008,59.1504
59,0x3e1e967e9b793e908f8eae83c74dba9bcccce6a5,social,2464.41,0.2987,59.4491
60,0x39fa9ec190eee7b6f4dff1100d6343e10918d044,trading,2448.37,0.2968,59.7459
61,0xd029fa3a95e174a19934857f535eb9427d967218,reasoning,2438.45,0.2956,60.0415
62,0x81b8a03f97e8787c53fe1a86bda042b6f0de9b0e,data,2416.93,0.293,60.3344
63,0xda4ea2a5506f2693eae190d9360a1f31793c98a1,data,2416.8,0.2929,60.6274
64,0xa68b412c4282555f15546cf6e1fc42893b7e07f2,reasoning,2408.47,0.2919,60.9193
65,0x108c995b953c8a35561103e2014cf828eb654a99,search,2393.14,0.2901,61.2094
66,0x3ada92f28b4ceda38562ebf047c6ff05400d4c57,data,2387.74,0.2894,61.4988
67,0x49d180ecf56132819571bf39d9b7b342522a2ac6,data,2337.85,0.2834,61.7822
68,0xa21855da08cb102d1d217c53dc5824a3a795c1c1,reasoning,2337.63,0.2833,62.0655
69,0xc75cb66ae28d8ebc6eded002c28a8ba0d06d3a78,reasoning,2299.23,0.2787,62.3442
70,0xff5a1ae012afa5d4c889c50ad427aaf545d31a4f,infrastructure,2259.5,0.2739,62.6181
71,0x7f2253d7e228b22a08bda1f09c516f6fead81df6,reasoning,2259.29,0.2739,62.892
72,0x8722616204217eddb39e7df969e0698aed8e599b,reasoning,2218.56,0.2689,63.1609
73,0x96061e92f58e4bdcdee73df36183fe3ac64747c8,reasoning,2183.29,0.2646,63.4255
74,0xeb624dbe56eb6620ae62080c10a273cab73ae8ec,data,2178.91,0.2641,63.6896
75,0xf369cb89fc627e668987007d121ed1eacdc01db9,media,2108.93,0.2556,63.9453
76,0xf74efabef12ea619e30b79bddef89cffa9dda494,data,2079.28,0.252,64.1973
77,0xa88a7902cb4ef697ba0b6759c50e8c10297ff58f,reasoning,2056.46,0.2493,64.4466
78,0x349c41201b62db851192665c504b350ff98c6b45,reasoning,1984.63,0.2406,64.6871
79,0x98a3ab7c340e8a033e7b37b6ef9428751581760a,social,1952.9,0.2367,64.9238
80,0x48449a14a4ff7d79bb7a1b6f3d488eba397c36ef,media,1882.13,0.2281,65.152
81,0x5316ca1c5ddca8e6ceccfce58f3b8540e540ee22,media,1871.18,0.2268,65.3788
82,0xa46e37632fa6ca51a13fe39a567b3c23b28c2f47,media,1850.74,0.2243,65.6031
83,0xbbb965ab0c80d6538cf2184babad2a564a010376,search,1754.47,0.2127,65.8158
84,0x44c8031cb036a7350d8b9b8603af662a4b9cdbd2,reasoning,1753.95,0.2126,66.0284
85,0xb4944c6ff08dc6f43da2e9c824669b7d927dd1fa,data,1693.38,0.2053,66.2336
86,0x434c9b5ae514646bbd91b50032ca579efec8f22b,data,1686.84,0.2045,66.4381
87,0xbdd2d3af3a5a1213497d4f1f7bfcda898274fe9c,data,1684.92,0.2042,66.6423
88,0x8b940be7fb78aaa6b6567dd7a3987996947460df,social,1681.39,0.2038,66.8461
89,0xcd70bea023f752a0564abb6ed08d42c1440f2e33,data,1665.36,0.2019,67.048
90,0x69f59c273b6e669ac32a6dd5e1b2cb63333d8b00,search,1658.62,0.201,67.249
91,0x1da51b8d8ff98f6a48f80ae79fe3ca6c26e1abb7,social,1608.16,0.1949,67.444
92,0x8241649609f88ccd2a0a5b233a07a538ec313ff6,data,1565.52,0.1898,67.6337
93,0x6e4001871c0cf27c7634ef1dc478408f642410fd,infrastructure,1564.66,0.1897,67.8234
94,0xe3d6c4d4599e00882384ca981ee287ed961fa5f3,media,1559.78,0.1891,68.0124
95,0xad48ff99415b2f007dc35b7eb553fd1eb35ebfa2,social,1525.04,0.1849,68.1973
96,0x7b1a278f5abe8e9da907fc9c29dfd432d60dc76e,data,1523.15,0.1846,68.3819
97,0xd6d824abba4afde81129c71dea75b8100e96338d,data,1488.54,0.1804,68.5624
98,0x29db0c6782dbd5000559ef4d9e953e300e2b479e,data,1471.56,0.1784,68.7407
99,0x8c1f1046219ddd216a023f792356ddf127fce372,reasoning,1465.9,0.1777,68.9184
100,0xad57366865126e55649ecb23ae1d48887544976e,data,1455.14,0.1764,69.0948
101,0x16dc368a89b428b2485484313ba67a3912ca03f2,infrastructure,1442.85,0.1749,69.2697
102,0x37834f2f25762f23e1f74a531cbe445db73d6765,media,1442.78,0.1749,69.4446
103,0x454f63ac30c8322997ef025edff6abd23e0dbe7b,reasoning,1430.43,0.1734,69.618
104,0x5ef6fdf32513aa7cd11f72beccf132b9224d33f2,data,1389.05,0.1684,69.7863
105,0x1253e9373e781b7500266caa55150e08e210bc8c,reasoning,1388.87,0.1683,69.9547
106,0x482d9673cfee5de391f97fde4d1c84f9f8d6f2cf,reasoning,1385.41,0.1679,70.1226
107,0x3346f2bbf6c34bd2dbe28bd1bb657d0e9c37392a,infrastructure,1365.24,0.1655,70.2881
108,0x9537f32ec7599e1ae953af6c9f929fe747ff9dad,data,1361.05,0.165,70.4531
109,0x0fd42b3f73c448b34940b339f87d07adf116b05c,reasoning,1323.84,0.1605,70.6135
110,0x9bdb2af6799204a299c603994b8e400e4b1fd625,media,1311.66,0.159,70.7725
111,0xf6e0a1e2ac41945a9aa7ff8a8aaa0cebc12a3bcc,reasoning,1301.73,0.1578,70.9303
112,0xb1556dea32e9d0cdbfed038fd7787275775ea409,reasoning,1285.62,0.1558,71.0861
113,0x6c658ee83fb7e812482494f3e416a876f63f418a,search,1283.92,0.1556,71.2418
114,0x9f1f9dce319c4700ef28ec8c53bd3cc8e6abe64c,media,1275.59,0.1546,71.3964
115,0x28dae7c8bde2f3ca608f86d0e16a214dee74c74b,trading,1268.7,0.1538,71.5502
116,0xe5b861a6d8a966dfca7e7341cd3eb6be9901688d,media,1263.21,0.1531,71.7033
117,0x2ac878b0e2180616993b4b6aa71e61166fdc86c2,data,1262.12,0.153,71.8563
118,0x85daaf6f7055cd5736287faed9603d712920092c,search,1262.0,0.153,72.0092
119,0x3038bfb575bee6a0e61945eff8784835bb2c7206,infrastructure,1254.85,0.1521,72.1613
120,0x2abaca4911e68fa9bfbf3482ee797fd5b9045b84,search,1254.58,0.1521,72.3134
121,0x89aa1e580023722db67646e8149eb246c748e180,trading,1244.65,0.1509,72.4643
122,0x1be00341082e25c4e251ca6713e767f7131a2823,search,1242.87,0.1507,72.6149
123,0xa665a45920422f9d417e4867efdc4fb8a04a1f3f,social,1239.29,0.1502,72.7651
124,0x6affdae3b3c1aa6aa7689e9b6a7b3225a636aa1a,reasoning,1238.3,0.1501,72.9152
125,0x0f8ef3377b30fc47f96b48247f463a726a802f62,search,1215.36,0.1473,73.0625
126,0x65a699905c02619370bcf9207f5a477c3d67130c,data,1208.61,0.1465,73.209
127,0x922c7954216ccfe7a61def609305ce1dc7c67e22,data,1204.65,0.146,73.3551
128,0x2747b7c718564ba5f066f0523b03e17f6a496b06,media,1202.94,0.1458,73.5009
129,0x6566230e3a3ce3774c1bbc7c18b590ae0f457bbc,trading,1199.7,0.1454,73.6463
130,0x38d66d9692ac590000a91b03a88da1c88d51fab2,trading,1193.74,0.1447,73.791
131,0xeeca91fd439b6d5e827e8fda7fee35046f2def93,reasoning,1174.54,0.1424,73.9334
132,0xdbb1ded63bc70732626c5dfe6c7f50ced3d560e9,search,1173.46,0.1422,74.0756
133,0xd2f483672c0239f6d7dd3c9ecee6deacbcd59185,search,1161.99,0.1408,74.2164
134,0x5d389f5e2e34c6b0bad96581c22cee0be36dcf62,data,1159.68,0.1406,74.357
135,0x13671077b66a29874a2578b5240319092ef2a104,reasoning,1151.19,0.1395,74.4965
136,0x36ebe205bcdfc499a25e6923f4450fa8d48196ce,reasoning,1142.08,0.1384,74.635
137,0xd80eae6e96d148b3b2abbbc6760077b66c4ea071,search,1133.45,0.1374,74.7724
138,0xd6a4031733610bb080d0bfa794fcc9dbdcff7483,data,1123.74,0.1362,74.9086
139,0x8d27ba37c5d810106b55f3fd6cdb35842007e887,trading,1107.42,0.1342,75.0428
140,0xdbae772db29058a88f9bd830e957c695347c41b6,data,1103.26,0.1337,75.1765
141,0x2c7d5490e6050836f8f2f0d496b1c8d6a38d4ffa,trading,1092.31,0.1324,75.3089
142,0xd4ee9f58e5860574ca98e3b4839391e7a356328d,data,1088.05,0.1319,75.4408
143,0xd6f0c71ef0c88e45e4b3a2118fcb83b0def392d7,search,1059.74,0.1285,75.5693
144,0x5ec1a0c99d428601ce42b407ae9c675e0836a8ba,reasoning,1058.2,0.1283,75.6975
145,0xbe47addbcb8f60566a3d7fd5a36f8195798e2848,data,1056.18,0.128,75.8256
146,0x0a5b046d07f6f971b7776de682f57c5b9cdc8fa0,search,1052.99,0.1276,75.9532
147,0x1d28c120568c10e19b9d8abe8b66d0983fa3d2e1,infrastructure,1052.8,0.1276,76.0808
148,0xec2e990b934dde55cb87300629cedfc21b15cd28,social,1051.09,0.1274,76.2082
149,0x05ada863a4cf9660fd8c68e2295f1d35b2264815,reasoning,1047.82,0.127,76.3352
150,0x9ae2bdd7beedc2e766c6b76585530e1692511570,data,1039.22,0.126,76.4612
151,0x8e612bd1f5d132a339575b8dafb7842c64614e56,reasoning,1037.67,0.1258,76.587
152,0x043066daf2109523a7490d4bfad4766da5719950,reasoning,1036.48,0.1256,76.7126
153,0x620c9c332101a5bae955c66ae72268fbcd397276,media,1034.81,0.1254,76.838
154,0x1d0ebea552eb43d0b1e1561f6de8ae92e3de7f1a,search,1032.31,0.1251,76.9632
155,0x210e3b160c355818509425b9d9e9fd3ea2e287f2,search,1031.45,0.125,77.0882
156,0x0fecf9247f3ddc84db8a804fa3065c013baf6b7c,social,1021.12,0.1238,77.212
157,0xc75de23d89df36ba921287616ee8edb4c986e328,search,1014.13,0.1229,77.3349
158,0x7ed8f0f3b707956d9fb1e889e11153e0aa0a8549,search,1010.81,0.1225,77.4574
159,0xff2ccb6ba423d356bd549ed4bfb76e96976a0dcd,reasoning,1003.5,0.1216,77.579
160,0xa512db2741cd20693e4b16f19891e72b9ff12cea,reasoning,993.06,0.1204,77.6994
161,0xbb668ca95563216088b98a62557fa1e26802563f,media,989.49,0.1199,77.8194
162,0x79d6eaa2676189eb927f2e16a70091474078e211,social,985.6,0.1195,77.9388
163,0x3d3286f7cd19074f04e514b0c6c237e757513fb3,reasoning,976.28,0.1183,78.0572
164,0x3f9807cb9ae9fb6c30942af6139909d27753a5e0,data,971.54,0.1178,78.1749
165,0xbc52dd634277c4a34a2d6210994a9a5e2ab6d33b,media,970.42,0.1176,78.2925
166,0xe0f05da93a0f5a86a3be5fc0e301606513c9f7e5,reasoning,967.42,0.1173,78.4098
167,0x73d3f1ba062585bce51f77d70a26be88c44b55d7,data,966.16,0.1171,78.5269
168,0x80c3cd40fa35f9088b8741bd8be6153de05f661c,social,965.87,0.1171,78.644
169,0xf57e5cb1f4532c008183057ecc94283801fcb5af,media,964.96,0.117,78.761
170,0x734d0759cdb4e0d0a35e4fd73749aee287e4fdcc,reasoning,964.8,0.1169,78.8779
171,0x284de502c9847342318c17d474733ef468fbdbe2,social,960.82,0.1165,78.9944
172,0x68519a9eca55c68c72658a2a1716aac3788c2898,data,960.19,0.1164,79.1108
173,0x4a8596a7790b5ca9e067da401c018b3206befbcf,social,960.0,0.1164,79.2271
174,0x41e521adf8ae7a0f419ee06e1d9fb79416236923,reasoning,947.35,0.1148,79.3419
175,0xdac53c17c250fd4d4d81eaf6d88435676dac1f3f,media,932.12,0.113,79.4549
176,0xcba28b89eb859497f544956d64cf2ecf29b76fe2,data,929.98,0.1127,79.5677
177,0x8cd2510271575d8430c05368315a87b9c4784c73,reasoning,928.96,0.1126,79.6803
178,0x01d54579da446ae1e75cda808cd188438834fa62,social,928.29,0.1125,79.7928
179,0x3068430da9e4b7a674184035643d9e19af3dc748,reasoning,927.83,0.1125,79.9052
180,0x7b69759630f869f2723875f873935fed29d2d12b,reasoning,927.5,0.1124,80.0177
181,0x580811fa95269f3ecd4f22d176e079d360935736,data,913.55,0.1107,80.1284
182,0xbfa7634640c53da7cb5e9c39031128c4e583399f,search,913.34,0.1107,80.2391
183,0xb8aed072d29403ece56ae9641638ddd50d420f95,search,911.13,0.1104,80.3495
184,0x52f11620e397f867b7d9f19e48caeb64658356a6,trading,909.19,0.1102,80.4598
185,0x61a229bae1e90331edd986b6bbbe617f7035de88,reasoning,907.84,0.11,80.5698
186,0x2811745d7b8d8874f6e653d176cefdd19e05e920,data,906.79,0.1099,80.6797
187,0x38b2d03f3256502b1e9db02b2d12aa27a46033ff,reasoning,901.24,0.1092,80.7889
188,0xd6061bbee6cf13bd73765faaea7cdd0af1323e4b,media,899.98,0.1091,80.898
189,0x7045d16ae7f043ec25774a0a85d6f479e5bb019e,trading,890.61,0.108,81.006
190,0x2397346b45823e070f6fc72ac94c0a999d234c47,search,884.7,0.1072,81.1132
191,0x70260742c2952154c84e2ea9f68b1a7397f49b6d,media,880.6,0.1067,81.22
192,0xeb3be230bbd2844b1f5d8f2e4fab9ffba8ab22cf,data,879.5,0.1066,81.3266
193,0x684fe39f03758de6a882ae61fa62312b67e5b1e6,infrastructure,877.21,0.1063,81.4329
194,0x7559ca4a957c8c82ba04781cd66a68d6022229fc,data,873.6,0.1059,81.5388
195,0x1dfacb2ea5a03e0a915999e03b5a56196f1b1664,reasoning,871.35,0.1056,81.6444
196,0xb4bbe448fde336bb6a7d7d765f36d3327c772b84,data,870.35,0.1055,81.7499
197,0x8bcbb4c131df56f7c79066016241cc4bdf4e58db,reasoning,868.58,0.1053,81.8552
198,0xa4e00d7e6aa82111575438c5e5d3e63269d4c475,reasoning,868.19,0.1052,81.9604
199,0x5a39cadd1b007093db50744797c7a04a34f73b35,reasoning,861.17,0.1044,82.0648
200,0x27badc983df1780b60c2b3fa9d3a19a00e46aac7,data,860.71,0.1043,82.1691
201,0x43974ed74066b207c30ffd0fed5146762e6c6074,media,860.0,0.1042,82.2734
202,0xc17edaae86e4016a583e098582f6dbf3eccade8e,data,858.02,0.104,82.3774
203,0x4621c1d55fa4e86ce0dae4288302641baac86dd5,data,855.74,0.1037,82.4811
204,0xfc56dbc6d4652b315b86b71c8d688c1ccdea9c5f,infrastructure,854.6,0.1036,82.5847
205,0xf8809aff4d69bece79dabe35be0c708b890d7eaf,search,851.77,0.1032,82.6879
206,0x5cf4e26bd3d87da5e03f80a43a64f1220a1f4ba9,data,843.97,0.1023,82.7902
207,0x968076be2e38cf897d4d6cea3faca9c037e1a4e3,reasoning,836.56,0.1014,82.8916
208,0x8df66f64b57424391d363fd6b811fed3c430c775,social,829.51,0.1005,82.9922
209,0x83f814f7a92e365cbd79f9addceed185761a8d38,reasoning,820.31,0.0994,83.0916
210,0xd29d53701d3c859e29e1b90028eec1ca8e2f2943,data,819.55,0.0993,83.191
211,0x093434a3ee9e0a010bb2c2aae06c2614dd248940,infrastructure,803.91,0.0974,83.2884
212,0xfa2b7af0a811b9acde602aacb78e3638e8506dfe,data,803.82,0.0974,83.3858
213,0xd48ff4b2f68a10fd7c86f185a6ccede0dc0f2c48,search,796.89,0.0966,83.4824
214,0x802b906a18591ead8a6dd809b262ace4c65c16e8,media,794.9,0.0964,83.5788
215,0xd86580a57f7bf542e85202283cb845953c9d28f8,media,781.28,0.0947,83.6735
216,0x0f4121d0ef1df4c86854c7ebb47ae1c93de8aec8,reasoning,768.91,0.0932,83.7667
217,0x16badfc6202cb3f8889e0f2779b19218af4cbb73,reasoning,766.53,0.0929,83.8596
218,0x5966abd0cbfc86f98a186531b2b4ee5f6e910120,data,766.4,0.0929,83.9525
219,0x314f04b30f62e0056bd059354a5536fb2e302107,reasoning,764.39,0.0927,84.0451
220,0x36790ecd55c2030dc553685bef719df653f413a2,social,756.37,0.0917,84.1368
221,0x67e9c3acebb154a282f326d4ff1951cd1f342e58,reasoning,755.62,0.0916,84.2284
222,0x9b871512327c09ce91dd649b3f96a63b7408ef26,media,750.92,0.091,84.3194
223,0x56f4da26ed956730309fa1488611ee0f13b0ac95,search,737.0,0.0893,84.4088
224,0x84a5092e4a5b6fe968fd523fb2fc917dbffae441,search,729.45,0.0884,84.4972
225,0x0e6523810856a138a75dec70a9cf3778a5c70b83,data,728.06,0.0882,84.5854
226,0x8f1f64db81c40ea10e1e9080c9ae60a7acb89259,data,727.18,0.0881,84.6736
227,0xdfe62e836a0a6f2633422230c81287700a56e263,trading,720.78,0.0874,84.7609
228,0x9d693eeee1d1899cbc50b6d45df953d3835acf28,media,720.47,0.0873,84.8483
229,0x08490295488a1189099751ebeddb5992313dd2a8,search,719.1,0.0872,84.9354
230,0xa0eaec5a55dc2f5b2ba523018adc485ff620b9d8,infrastructure,718.49,0.0871,85.0225
231,0x138d9e809e386a7b800791d1f664f56d1c55f3d1,search,714.43,0.0866,85.1091
232,0x835d5e8314340ab852a2f979ab4cd53e994dbe38,reasoning,712.37,0.0863,85.1955
233,0xc0509a487a18b003ba05e505419ebb63e57a2915,media,705.87,0.0856,85.281
234,0x114bd151f8fb0c58642d2170da4ae7d7c5797726,reasoning,704.31,0.0854,85.3664
235,0x0a2d643bfd24a028cd236e76575d828424ccffbf,media,694.39,0.0842,85.4506
236,0x9a049b03f6fc40bfcf2f136320359257ed4af851,infrastructure,694.11,0.0841,85.5347
237,0xf0bc318fb8965cad8d73d578cd03c63b7987dc6a,data,693.11,0.084,85.6187
238,0x8ae4c23b80d1e7c8ff79e515fe791ebd68190bae,data,683.62,0.0829,85.7016
239,0x79bf08685d3138f9b109c3546780f056bc954fd6,reasoning,679.28,0.0823,85.7839
240,0x6af1f692e9496c6d0b668316eccb93276ae6b677,infrastructure,678.79,0.0823,85.8662
241,0x749fc650cacb0f06547520d53c31505c8156e0a3,reasoning,678.65,0.0823,85.9485
242,0x14063697603e22d600d336bee6cff12c8be93509,reasoning,672.39,0.0815,86.03
243,0x72440a20f54075ac43f51a2cf0dbb2a14366b38a,reasoning,671.56,0.0814,86.1114
244,0x82c01ce15b431d420eb6a1febfba7d7a2b69e5bc,reasoning,670.23,0.0812,86.1926
245,0x011af72a910ac4acf367eef9e6b761e0980842c3,data,669.51,0.0812,86.2738
246,0x37c20f19f3272b5ccc3a5d80587eb9deb3f4afcf,data,666.83,0.0808,86.3546
247,0x396f804443825586c1283a27fdcadf74abb82008,reasoning,665.85,0.0807,86.4353
248,0x766cb53c753baedac5dc782593e04694b3bae3ae,reasoning,665.79,0.0807,86.516
249,0x9f484139a27415ae2e8612bf6c65a8101a18eb5e,reasoning,663.83,0.0805,86.5965
250,0x1e472b39b105d349bcd069c4a711b44a2fffb8e2,data,662.07,0.0803,86.6767
251,0xc75d3f1f5bcd6914d0331ce5ec17c0db8f2070a2,reasoning,658.52,0.0798,86.7565
252,0xd6e5a20b30f87216b2c758f5e7a23c437dbc3dfa,media,656.1,0.0795,86.8361
253,0xe7866fdc6672f827c76f6124ca3eeaff44aff8b7,reasoning,653.92,0.0793,86.9153
254,0x9512d95d00d61bdec03d2b99d6ecc455ee5644ae,reasoning,653.1,0.0792,86.9945
255,0x9556b82499cc0aaf86aee7f0d253e17c61b7ef73,data,642.55,0.0779,87.0724
256,0x51e8ea280b44e16934d4d611901f3d3afc417898,data,637.88,0.0773,87.1497
257,0x4c970004b0678d439f177e77d3cabdb7e9a44df7,reasoning,634.03,0.0769,87.2265
258,0xa30f4ef42176d28f0e2293533c5f532e9c9c5696,reasoning,630.86,0.0765,87.303
259,0x7c252ab334fb8fd88e8242c4972c21db9c7ce0b4,social,630.68,0.0764,87.3795
260,0x39bb88f40d3aa2b2fe9dea67be27c74765db0ebb,reasoning,626.62,0.076,87.4554
261,0xe888a676e1926d0c08b5f11fb9116df58b62604b,data,624.62,0.0757,87.5311
262,0x9e6a72557ada15d02001f024f43f06edc4a31437,data,623.38,0.0756,87.6067
263,0x4be84111a613654b362415e563cb7607df7b203b,data,622.05,0.0754,87.6821
264,0xbba58959c32abe688d9cb5222b97de973002a67c,data,620.35,0.0752,87.7573
265,0x768b84ef05f655d57fe22d488451f075365f6cd1,search,618.81,0.075,87.8323
266,0xea5b27556fbb134def2c2fbf944d9cdda3dbdb6b,social,616.57,0.0747,87.907
267,0x8acc23987b8960d83c44541f9f0eb46454cea080,reasoning,615.78,0.0746,87.9817
268,0x8b496bf96bbcc9e5ac11c068b6cfb00c32f9d163,data,611.03,0.0741,88.0557
269,0xf747870ae666c39b589f577856a0f7198b3b8126,reasoning,607.34,0.0736,88.1293
270,0xd8d1790737d57ac4fe91a2c0a28087c0a97c81f5,data,605.9,0.0734,88.2028
271,0x3635a91e3da857f7847f68185a116a5260d2593f,media,603.18,0.0731,88.2759
272,0x1c6c0bb2c7ecdc3be8e134f79b9de45155258c1f,reasoning,602.12,0.073,88.3489
273,0x303c8bd55875dda240897db158acf70afe4226f3,data,600.67,0.0728,88.4217
274,0x718127812c05853f0bec61582a4a3840b1c844fe,infrastructure,593.99,0.072,88.4937
275,0x3a1dfb05d7257530e6349233688c3e121945c5de,reasoning,592.47,0.0718,88.5655
276,0xc76b405781134be1dab7fe45adfb8c32104805a0,data,591.33,0.0717,88.6372
277,0x27d719c754aacd492a6dc8a1b76619355abcf5ef,search,586.28,0.0711,88.7082
278,0xee62de25ccc2b55d3a0495244b246fb97055b6f1,reasoning,584.91,0.0709,88.7791
279,0xefd96aedf377e20afd95285a7c751a864260bd6a,reasoning,582.61,0.0706,88.8498
280,0x7f0a22117f8fe0172cf9209ff622b64a51aaeda2,reasoning,579.98,0.0703,88.9201
281,0x71a1c003a2b855d85582c8f6c7648c49d3fe8364,infrastructure,578.92,0.0702,88.9902
282,0x27e1615212f3c6ea846ed6c412df1361ce97f006,reasoning,576.34,0.0699,89.0601
283,0xe0850a775c17a87060c0cf6efad1020e0cbef5a4,reasoning,574.25,0.0696,89.1297
284,0x1e68ed4e3d58a51096a7feea3947f40debf1fd92,reasoning,572.12,0.0693,89.199
285,0xa0d177b4967a6d99f4ff117defe1c0d23d4e78ca,reasoning,571.23,0.0692,89.2683
286,0x00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a,media,565.88,0.0686,89.3369
